ClapIndex,TimeStamp,Gesture,SampleNumber,Wrist_X,Wrist_Y,Wrist_Z,Palm_X,Palm_Y,Palm_Z,ThumbMetacarpal_X,ThumbMetacarpal_Y,ThumbMetacarpal_Z,ThumbProximal_X,ThumbProximal_Y,ThumbProximal_Z,ThumbDistal_X,ThumbDistal_Y,ThumbDistal_Z,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,IndexMetacarpal_X,IndexMetacarpal_Y,IndexMetacarpal_Z,IndexProximal_X,IndexProximal_Y,IndexProximal_Z,IndexIntermediate_X,IndexIntermediate_Y,IndexIntermediate_Z,IndexDistal_X,IndexDistal_Y,IndexDistal_Z,IndexTip_X,IndexTip_Y,IndexTip_Z,MiddleMetacarpal_X,MiddleMetacarpal_Y,MiddleMetacarpal_Z,MiddleProximal_X,MiddleProximal_Y,MiddleProximal_Z,MiddleIntermediate_X,MiddleIntermediate_Y,MiddleIntermediate_Z,MiddleDistal_X,MiddleDistal_Y,MiddleDistal_Z,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,RingMetacarpal_X,RingMetacarpal_Y,RingMetacarpal_Z,RingProximal_X,RingProximal_Y,RingProximal_Z,RingIntermediate_X,RingIntermediate_Y,RingIntermediate_Z,RingDistal_X,RingDistal_Y,RingDistal_Z,RingTip_X,RingTip_Y,RingTip_Z,LittleMetacarpal_X,LittleMetacarpal_Y,LittleMetacarpal_Z,LittleProximal_X,LittleProximal_Y,LittleProximal_Z,LittleIntermediate_X,LittleIntermediate_Y,LittleIntermediate_Z,LittleDistal_X,LittleDistal_Y,LittleDistal_Z,LittleTip_X,LittleTip_Y,LittleTip_Z
1,2025-03-25 01:16:04,palm open,1,-0.0400,0.9700,0.1800,-0.0400,1.0300,0.2200,-0.0700,1.0000,0.1900,-0.1000,1.0200,0.2000,-0.1200,1.0500,0.2200,-0.1400,1.0600,0.2300,-0.0600,1.0000,0.2000,-0.0700,1.0600,0.2300,-0.0700,1.1000,0.2400,-0.0700,1.1200,0.2400,-0.0700,1.1500,0.2400,-0.0400,1.0000,0.2000,-0.0400,1.0500,0.2400,-0.0400,1.1000,0.2400,-0.0400,1.1300,0.2400,-0.0400,1.1600,0.2400,-0.0200,1.0000,0.2000,-0.0200,1.0500,0.2300,-0.0200,1.0900,0.2300,-0.0100,1.1200,0.2300,-0.0100,1.1500,0.2300,-0.0100,1.0100,0.2000,0.0000,1.0500,0.2200,0.0000,1.0800,0.2200,0.0100,1.1000,0.2200,0.0200,1.1200,0.2200
1,2025-03-25 01:16:04,palm open,2,-0.0400,0.9700,0.1800,-0.0500,1.0300,0.2200,-0.0700,1.0000,0.1900,-0.1000,1.0200,0.2000,-0.1200,1.0500,0.2200,-0.1400,1.0600,0.2300,-0.0600,1.0000,0.2000,-0.0700,1.0600,0.2300,-0.0700,1.1000,0.2400,-0.0700,1.1200,0.2400,-0.0700,1.1500,0.2400,-0.0500,1.0000,0.2000,-0.0500,1.0500,0.2400,-0.0400,1.1000,0.2400,-0.0400,1.1300,0.2400,-0.0400,1.1600,0.2400,-0.0200,1.0000,0.2000,-0.0300,1.0500,0.2300,-0.0200,1.0900,0.2300,-0.0200,1.1200,0.2300,-0.0100,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0500,0.2200,0.0000,1.0800,0.2200,0.0100,1.1000,0.2200,0.0200,1.1200,0.2200
1,2025-03-25 01:16:04,palm open,3,-0.0400,0.9700,0.1800,-0.0500,1.0300,0.2200,-0.0800,1.0000,0.1900,-0.1000,1.0200,0.2000,-0.1200,1.0500,0.2200,-0.1400,1.0600,0.2300,-0.0600,1.0000,0.2000,-0.0700,1.0600,0.2300,-0.0700,1.1000,0.2400,-0.0700,1.1200,0.2400,-0.0700,1.1500,0.2400,-0.0500,1.0000,0.2000,-0.0500,1.0500,0.2400,-0.0400,1.1000,0.2400,-0.0400,1.1300,0.2400,-0.0400,1.1600,0.2400,-0.0300,1.0000,0.2000,-0.0300,1.0500,0.2300,-0.0200,1.0900,0.2300,-0.0200,1.1200,0.2300,-0.0200,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0500,0.2200,0.0000,1.0800,0.2200,0.0100,1.1000,0.2200,0.0100,1.1200,0.2200
1,2025-03-25 01:16:04,palm open,4,-0.0400,0.9700,0.1800,-0.0500,1.0300,0.2200,-0.0800,1.0000,0.1900,-0.1000,1.0200,0.2000,-0.1200,1.0500,0.2200,-0.1400,1.0600,0.2300,-0.0700,1.0000,0.2000,-0.0700,1.0600,0.2300,-0.0800,1.1000,0.2400,-0.0800,1.1200,0.2400,-0.0800,1.1500,0.2400,-0.0500,1.0000,0.2000,-0.0500,1.0500,0.2400,-0.0500,1.1000,0.2400,-0.0500,1.1300,0.2400,-0.0400,1.1600,0.2400,-0.0300,1.0000,0.2000,-0.0300,1.0500,0.2300,-0.0200,1.0900,0.2300,-0.0200,1.1200,0.2300,-0.0200,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0500,0.2200,0.0000,1.0800,0.2200,0.0100,1.1000,0.2200,0.0100,1.1200,0.2200
1,2025-03-25 01:16:04,palm open,5,-0.0400,0.9700,0.1900,-0.0500,1.0300,0.2200,-0.0800,1.0000,0.1900,-0.1100,1.0200,0.2000,-0.1300,1.0500,0.2200,-0.1500,1.0600,0.2300,-0.0700,1.0000,0.2000,-0.0800,1.0600,0.2400,-0.0800,1.1000,0.2400,-0.0800,1.1200,0.2400,-0.0800,1.1500,0.2400,-0.0500,1.0000,0.2000,-0.0500,1.0600,0.2400,-0.0500,1.1000,0.2400,-0.0500,1.1300,0.2400,-0.0500,1.1600,0.2400,-0.0300,1.0000,0.2000,-0.0300,1.0500,0.2300,-0.0300,1.0900,0.2300,-0.0200,1.1200,0.2300,-0.0200,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0500,0.2200,0.0000,1.0800,0.2200,0.0000,1.1000,0.2200,0.0100,1.1200,0.2200
1,2025-03-25 01:16:04,palm open,6,-0.0500,0.9700,0.1900,-0.0500,1.0300,0.2200,-0.0800,1.0100,0.1900,-0.1100,1.0300,0.2100,-0.1300,1.0500,0.2200,-0.1500,1.0700,0.2300,-0.0700,1.0100,0.2000,-0.0800,1.0600,0.2400,-0.0800,1.1000,0.2400,-0.0800,1.1300,0.2400,-0.0800,1.1500,0.2400,-0.0500,1.0100,0.2000,-0.0500,1.0600,0.2400,-0.0500,1.1000,0.2400,-0.0500,1.1300,0.2400,-0.0500,1.1600,0.2400,-0.0300,1.0100,0.2000,-0.0300,1.0600,0.2300,-0.0300,1.1000,0.2300,-0.0200,1.1200,0.2300,-0.0200,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0500,0.2200,0.0000,1.0800,0.2200,0.0000,1.1000,0.2200,0.0100,1.1300,0.2200
1,2025-03-25 01:16:04,palm open,7,-0.0400,0.9700,0.1900,-0.0500,1.0300,0.2200,-0.0800,1.0100,0.1900,-0.1100,1.0300,0.2100,-0.1300,1.0500,0.2200,-0.1500,1.0700,0.2300,-0.0700,1.0100,0.2000,-0.0800,1.0600,0.2400,-0.0800,1.1000,0.2400,-0.0800,1.1300,0.2400,-0.0800,1.1500,0.2400,-0.0500,1.0100,0.2000,-0.0500,1.0600,0.2400,-0.0500,1.1100,0.2400,-0.0500,1.1400,0.2400,-0.0500,1.1600,0.2400,-0.0300,1.0100,0.2000,-0.0300,1.0600,0.2300,-0.0300,1.1000,0.2300,-0.0200,1.1300,0.2300,-0.0200,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0500,0.2200,0.0000,1.0900,0.2200,0.0000,1.1100,0.2200,0.0100,1.1300,0.2200
1,2025-03-25 01:16:04,palm open,8,-0.0500,0.9800,0.1900,-0.0500,1.0400,0.2200,-0.0800,1.0100,0.1900,-0.1100,1.0300,0.2100,-0.1300,1.0600,0.2200,-0.1500,1.0700,0.2300,-0.0700,1.0100,0.2000,-0.0800,1.0600,0.2400,-0.0800,1.1000,0.2400,-0.0800,1.1300,0.2400,-0.0800,1.1500,0.2400,-0.0500,1.0100,0.2000,-0.0500,1.0600,0.2400,-0.0500,1.1100,0.2400,-0.0500,1.1400,0.2400,-0.0500,1.1600,0.2400,-0.0300,1.0100,0.2000,-0.0300,1.0600,0.2300,-0.0300,1.1000,0.2300,-0.0200,1.1300,0.2300,-0.0200,1.1500,0.2300,-0.0200,1.0100,0.2000,-0.0100,1.0600,0.2200,0.0000,1.0900,0.2200,0.0000,1.1100,0.2200,0.0100,1.1300,0.2200
1,2025-03-25 01:16:04,palm open,9,-0.0400,0.9800,0.1900,-0.0500,1.0400,0.2200,-0.0800,1.0100,0.1900,-0.1100,1.0300,0.2000,-0.1300,1.0600,0.2200,-0.1500,1.0700,0.2300,-0.0700,1.0100,0.2000,-0.0800,1.0600,0.2300,-0.0800,1.1000,0.2400,-0.0800,1.1300,0.2400,-0.0800,1.1500,0.2400,-0.0500,1.0100,0.2000,-0.0500,1.0600,0.2400,-0.0500,1.1100,0.2400,-0.0500,1.1400,0.2400,-0.0500,1.1600,0.2400,-0.0300,1.0100,0.2000,-0.0300,1.0600,0.2300,-0.0300,1.1000,0.2300,-0.0300,1.1300,0.2300,-0.0200,1.1600,0.2400,-0.0200,1.0100,0.2000,-0.0100,1.0600,0.2200,0.0000,1.0900,0.2200,0.0000,1.1100,0.2200,0.0100,1.1300,0.2200
1,2025-03-25 01:16:04,palm open,10,-0.0500,0.9800,0.1800,-0.0500,1.0400,0.2200,-0.0800,1.0200,0.1900,-0.1100,1.0300,0.2000,-0.1300,1.0600,0.2200,-0.1500,1.0700,0.2200,-0.0700,1.0200,0.2000,-0.0800,1.0700,0.2300,-0.0800,1.1100,0.2400,-0.0800,1.1400,0.2400,-0.0800,1.1600,0.2400,-0.0500,1.0200,0.2000,-0.0600,1.0700,0.2400,-0.0600,1.1100,0.2400,-0.0500,1.1400,0.2300,-0.0500,1.1700,0.2400,-0.0300,1.0200,0.2000,-0.0400,1.0700,0.2300,-0.0300,1.1100,0.2300,-0.0300,1.1400,0.2300,-0.0300,1.1600,0.2300,-0.0200,1.0200,0.2000,-0.0200,1.0600,0.2200,-0.0100,1.0900,0.2200,0.0000,1.1100,0.2200,0.0000,1.1400,0.2200
